GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,AV0AA,AV0AAM
"G080","2011-2015","Colorado","08","080","Colorado",5278906,0
"G090","2011-2015","Connecticut","09","090","Connecticut",3593222,0
"G100","2011-2015","Delaware","10","100","Delaware",926454,0
"G110","2011-2015","District of Columbia","11","110","District of Columbia",647484,0
"G120","2011-2015","Florida","12","120","Florida",19645772,0
"G130","2011-2015","Georgia","13","130","Georgia",10006693,0
"G150","2011-2015","Hawaii","15","150","Hawaii",1406299,0
"G160","2011-2015","Idaho","16","160","Idaho",1616547,0
"G170","2011-2015","Illinois","17","170","Illinois",12873761,0
"G180","2011-2015","Indiana","18","180","Indiana",6568645,0
"G190","2011-2015","Iowa","19","190","Iowa",3093526,0
"G200","2011-2015","Kansas","20","200","Kansas",2892987,0
"G210","2011-2015","Kentucky","21","210","Kentucky",4397353,0
"G220","2011-2015","Louisiana","22","220","Louisiana",4625253,0
"G230","2011-2015","Maine","23","230","Maine",1329100,0
"G240","2011-2015","Maryland","24","240","Maryland",5930538,0
"G250","2011-2015","Massachusetts","25","250","Massachusetts",6705586,0
"G260","2011-2015","Michigan","26","260","Michigan",9900571,0
"G270","2011-2015","Minnesota","27","270","Minnesota",5419171,0
"G280","2011-2015","Mississippi","28","280","Mississippi",2988081,0
"G290","2011-2015","Missouri","29","290","Missouri",6045448,0
"G300","2011-2015","Montana","30","300","Montana",1014699,0
"G310","2011-2015","Nebraska","31","310","Nebraska",1869365,0
"G320","2011-2015","Nevada","32","320","Nevada",2798636,0
"G330","2011-2015","New Hampshire","33","330","New Hampshire",1324201,0
"G340","2011-2015","New Jersey","34","340","New Jersey",8904413,0
"G350","2011-2015","New Mexico","35","350","New Mexico",2084117,0
"G360","2011-2015","New York","36","360","New York",19673174,0
"G370","2011-2015","North Carolina","37","370","North Carolina",9845333,0
"G380","2011-2015","North Dakota","38","380","North Dakota",721640,0
"G390","2011-2015","Ohio","39","390","Ohio",11575977,0
"G400","2011-2015","Oklahoma","40","400","Oklahoma",3849733,0
"G410","2011-2015","Oregon","41","410","Oregon",3939233,0
"G420","2011-2015","Pennsylvania","42","420","Pennsylvania",12779559,0
"G440","2011-2015","Rhode Island","44","440","Rhode Island",1053661,0
"G450","2011-2015","South Carolina","45","450","South Carolina",4777576,0
"G460","2011-2015","South Dakota","46","460","South Dakota",843190,0
"G470","2011-2015","Tennessee","47","470","Tennessee",6499615,0
"G480","2011-2015","Texas","48","480","Texas",26538614,0
"G490","2011-2015","Utah","49","490","Utah",2903379,0
"G500","2011-2015","Vermont","50","500","Vermont",626604,0
"G510","2011-2015","Virginia","51","510","Virginia",8256630,0
"G530","2011-2015","Washington","53","530","Washington",6985464,0
"G540","2011-2015","West Virginia","54","540","West Virginia",1851420,0
"G550","2011-2015","Wisconsin","55","550","Wisconsin",5742117,0
"G560","2011-2015","Wyoming","56","560","Wyoming",579679,0
"G720","2011-2015","Puerto Rico","72","720","Puerto Rico",3583073,0
"G010","2012-2016","Alabama","01","010","Alabama",4841164,0
"G020","2012-2016","Alaska","02","020","Alaska",736855,0
"G040","2012-2016","Arizona","04","040","Arizona",6728577,0
"G050","2012-2016","Arkansas","05","050","Arkansas",2968472,0
"G060","2012-2016","California","06","060","California",38654206,0
"G080","2012-2016","Colorado","08","080","Colorado",5359295,0
"G090","2012-2016","Connecticut","09","090","Connecticut",3588570,0
"G100","2012-2016","Delaware","10","100","Delaware",934695,0
"G110","2012-2016","District of Columbia","11","110","District of Columbia",659009,0
"G120","2012-2016","Florida","12","120","Florida",19934451,0
"G130","2012-2016","Georgia","13","130","Georgia",10099320,0
"G150","2012-2016","Hawaii","15","150","Hawaii",1413673,0
"G160","2012-2016","Idaho","16","160","Idaho",1635483,0
"G170","2012-2016","Illinois","17","170","Illinois",12851684,0
"G180","2012-2016","Indiana","18","180","Indiana",6589578,0
"G190","2012-2016","Iowa","19","190","Iowa",3106589,0
"G200","2012-2016","Kansas","20","200","Kansas",2898292,0
"G210","2012-2016","Kentucky","21","210","Kentucky",4411989,0
"G220","2012-2016","Louisiana","22","220","Louisiana",4645670,0
"G230","2012-2016","Maine","23","230","Maine",1329923,0
"G240","2012-2016","Maryland","24","240","Maryland",5959902,0
"G250","2012-2016","Massachusetts","25","250","Massachusetts",6742143,0
"G260","2012-2016","Michigan","26","260","Michigan",9909600,0
"G270","2012-2016","Minnesota","27","270","Minnesota",5450868,0
"G280","2012-2016","Mississippi","28","280","Mississippi",2989192,0
"G290","2012-2016","Missouri","29","290","Missouri",6059651,0
"G300","2012-2016","Montana","30","300","Montana",1023391,0
"G310","2012-2016","Nebraska","31","310","Nebraska",1881259,0
"G320","2012-2016","Nevada","32","320","Nevada",2839172,0
"G330","2012-2016","New Hampshire","33","330","New Hampshire",1327503,0
"G340","2012-2016","New Jersey","34","340","New Jersey",8915456,0
"G350","2012-2016","New Mexico","35","350","New Mexico",2082669,0
"G360","2012-2016","New York","36","360","New York",19697457,0
"G370","2012-2016","North Carolina","37","370","North Carolina",9940828,0
"G380","2012-2016","North Dakota","38","380","North Dakota",736162,0
"G390","2012-2016","Ohio","39","390","Ohio",11586941,0
"G400","2012-2016","Oklahoma","40","400","Oklahoma",3875589,0
"G410","2012-2016","Oregon","41","410","Oregon",3982267,0
"G420","2012-2016","Pennsylvania","42","420","Pennsylvania",12783977,0
"G440","2012-2016","Rhode Island","44","440","Rhode Island",1054491,0
"G450","2012-2016","South Carolina","45","450","South Carolina",4834605,0
"G460","2012-2016","South Dakota","46","460","South Dakota",851058,0
"G470","2012-2016","Tennessee","47","470","Tennessee",6548009,0
"G480","2012-2016","Texas","48","480","Texas",26956435,0
"G490","2012-2016","Utah","49","490","Utah",2948427,0
"G500","2012-2016","Vermont","50","500","Vermont",626249,0
"G510","2012-2016","Virginia","51","510","Virginia",8310301,0
"G530","2012-2016","Washington","53","530","Washington",7073146,0
"G540","2012-2016","West Virginia","54","540","West Virginia",1846092,0
"G550","2012-2016","Wisconsin","55","550","Wisconsin",5754798,0
"G560","2012-2016","Wyoming","56","560","Wyoming",583029,0
"G720","2012-2016","Puerto Rico","72","720","Puerto Rico",3529385,0
"G010","2013-2017","Alabama","01","010","Alabama",4850771,0
"G020","2013-2017","Alaska","02","020","Alaska",738565,0
"G040","2013-2017","Arizona","04","040","Arizona",6809946,0
"G050","2013-2017","Arkansas","05","050","Arkansas",2977944,0
"G060","2013-2017","California","06","060","California",38982847,0
"G080","2013-2017","Colorado","08","080","Colorado",5436519,0
"G090","2013-2017","Connecticut","09","090","Connecticut",3594478,0
"G100","2013-2017","Delaware","10","100","Delaware",943732,0
"G110","2013-2017","District of Columbia","11","110","District of Columbia",672391,0
"G120","2013-2017","Florida","12","120","Florida",20278447,0
"G130","2013-2017","Georgia","13","130","Georgia",10201635,0
"G150","2013-2017","Hawaii","15","150","Hawaii",1421658,0
"G160","2013-2017","Idaho","16","160","Idaho",1657375,0
"G170","2013-2017","Illinois","17","170","Illinois",12854526,0
"G180","2013-2017","Indiana","18","180","Indiana",6614418,0
"G190","2013-2017","Iowa","19","190","Iowa",3118102,0
"G200","2013-2017","Kansas","20","200","Kansas",2903820,0
"G210","2013-2017","Kentucky","21","210","Kentucky",4424376,0
"G220","2013-2017","Louisiana","22","220","Louisiana",4663461,0
"G230","2013-2017","Maine","23","230","Maine",1330158,0
"G240","2013-2017","Maryland","24","240","Maryland",5996079,0
"G250","2013-2017","Massachusetts","25","250","Massachusetts",6789319,0
"G260","2013-2017","Michigan","26","260","Michigan",9925568,0
"G270","2013-2017","Minnesota","27","270","Minnesota",5490726,0
"G280","2013-2017","Mississippi","28","280","Mississippi",2986220,0
"G290","2013-2017","Missouri","29","290","Missouri",6075300,0
"G300","2013-2017","Montana","30","300","Montana",1029862,0
"G310","2013-2017","Nebraska","31","310","Nebraska",1893921,0
"G320","2013-2017","Nevada","32","320","Nevada",2887725,0
"G330","2013-2017","New Hampshire","33","330","New Hampshire",1331848,0
"G340","2013-2017","New Jersey","34","340","New Jersey",8960161,0
"G350","2013-2017","New Mexico","35","350","New Mexico",2084828,0
"G360","2013-2017","New York","36","360","New York",19798228,0
"G370","2013-2017","North Carolina","37","370","North Carolina",10052564,0
"G380","2013-2017","North Dakota","38","380","North Dakota",745475,0
"G390","2013-2017","Ohio","39","390","Ohio",11609756,0
"G400","2013-2017","Oklahoma","40","400","Oklahoma",3896251,0
"G410","2013-2017","Oregon","41","410","Oregon",4025127,0
"G420","2013-2017","Pennsylvania","42","420","Pennsylvania",12790505,0
"G440","2013-2017","Rhode Island","44","440","Rhode Island",1056138,0
"G450","2013-2017","South Carolina","45","450","South Carolina",4893444,0
"G460","2013-2017","South Dakota","46","460","South Dakota",855444,0
"G470","2013-2017","Tennessee","47","470","Tennessee",6597381,0
"G480","2013-2017","Texas","48","480","Texas",27419612,0
"G490","2013-2017","Utah","49","490","Utah",2993941,0
"G500","2013-2017","Vermont","50","500","Vermont",624636,0
"G510","2013-2017","Virginia","51","510","Virginia",8365952,0
"G530","2013-2017","Washington","53","530","Washington",7169967,0
"G540","2013-2017","West Virginia","54","540","West Virginia",1836843,0
"G550","2013-2017","Wisconsin","55","550","Wisconsin",5763217,0
"G560","2013-2017","Wyoming","56","560","Wyoming",583200,0
"G720","2013-2017","Puerto Rico","72","720","Puerto Rico",3468963,0
"G010","2014-2018","Alabama","01","010","Alabama",4864680,0
"G020","2014-2018","Alaska","02","020","Alaska",738516,0
"G040","2014-2018","Arizona","04","040","Arizona",6946685,0
"G050","2014-2018","Arkansas","05","050","Arkansas",2990671,0
"G060","2014-2018","California","06","060","California",39148760,0
"G080","2014-2018","Colorado","08","080","Colorado",5531141,0
"G090","2014-2018","Connecticut","09","090","Connecticut",3581504,0
"G100","2014-2018","Delaware","10","100","Delaware",949495,0
"G110","2014-2018","District of Columbia","11","110","District of Columbia",684498,0
"G120","2014-2018","Florida","12","120","Florida",20598139,0
"G130","2014-2018","Georgia","13","130","Georgia",10297484,0
"G150","2014-2018","Hawaii","15","150","Hawaii",1422029,0
"G160","2014-2018","Idaho","16","160","Idaho",1687809,0
"G170","2014-2018","Illinois","17","170","Illinois",12821497,0
"G180","2014-2018","Indiana","18","180","Indiana",6637426,0
"G190","2014-2018","Iowa","19","190","Iowa",3132499,0
"G200","2014-2018","Kansas","20","200","Kansas",2908776,0
"G210","2014-2018","Kentucky","21","210","Kentucky",4440204,0
"G220","2014-2018","Louisiana","22","220","Louisiana",4663616,0
"G230","2014-2018","Maine","23","230","Maine",1332813,0
"G240","2014-2018","Maryland","24","240","Maryland",6003435,0
"G250","2014-2018","Massachusetts","25","250","Massachusetts",6830193,0
"G260","2014-2018","Michigan","26","260","Michigan",9957488,0
"G270","2014-2018","Minnesota","27","270","Minnesota",5527358,0
"G280","2014-2018","Mississippi","28","280","Mississippi",2988762,0
"G290","2014-2018","Missouri","29","290","Missouri",6090062,0
"G300","2014-2018","Montana","30","300","Montana",1041732,0
"G310","2014-2018","Nebraska","31","310","Nebraska",1904760,0
"G320","2014-2018","Nevada","32","320","Nevada",2922849,0
"G330","2014-2018","New Hampshire","33","330","New Hampshire",1343622,0
"G340","2014-2018","New Jersey","34","340","New Jersey",8881845,0
"G350","2014-2018","New Mexico","35","350","New Mexico",2092434,0
"G360","2014-2018","New York","36","360","New York",19618453,0
"G370","2014-2018","North Carolina","37","370","North Carolina",10155624,0
"G380","2014-2018","North Dakota","38","380","North Dakota",752201,0
"G390","2014-2018","Ohio","39","390","Ohio",11641879,0
"G400","2014-2018","Oklahoma","40","400","Oklahoma",3918137,0
"G410","2014-2018","Oregon","41","410","Oregon",4081943,0
"G420","2014-2018","Pennsylvania","42","420","Pennsylvania",12791181,0
"G440","2014-2018","Rhode Island","44","440","Rhode Island",1056611,0
"G450","2014-2018","South Carolina","45","450","South Carolina",4955925,0
"G460","2014-2018","South Dakota","46","460","South Dakota",864289,0
"G470","2014-2018","Tennessee","47","470","Tennessee",6651089,0
"G480","2014-2018","Texas","48","480","Texas",27885195,0
"G490","2014-2018","Utah","49","490","Utah",3045350,0
"G500","2014-2018","Vermont","50","500","Vermont",624977,0
"G510","2014-2018","Virginia","51","510","Virginia",8413774,0
"G530","2014-2018","Washington","53","530","Washington",7294336,0
"G540","2014-2018","West Virginia","54","540","West Virginia",1829054,0
"G550","2014-2018","Wisconsin","55","550","Wisconsin",5778394,0
"G560","2014-2018","Wyoming","56","560","Wyoming",581836,0
"G720","2014-2018","Puerto Rico","72","720","Puerto Rico",3386941,0
"G010","2015-2019","Alabama","01","010","Alabama",4876250,0
"G020","2015-2019","Alaska","02","020","Alaska",737068,0
"G040","2015-2019","Arizona","04","040","Arizona",7050299,0
"G050","2015-2019","Arkansas","05","050","Arkansas",2999370,0
"G060","2015-2019","California","06","060","California",39283497,0
"G080","2015-2019","Colorado","08","080","Colorado",5610349,0
"G090","2015-2019","Connecticut","09","090","Connecticut",3575074,0
"G100","2015-2019","Delaware","10","100","Delaware",957248,0
"G110","2015-2019","District of Columbia","11","110","District of Columbia",692683,0
"G120","2015-2019","Florida","12","120","Florida",20901636,0
"G130","2015-2019","Georgia","13","130","Georgia",10403847,0
"G150","2015-2019","Hawaii","15","150","Hawaii",1422094,0
"G160","2015-2019","Idaho","16","160","Idaho",1717750,0
"G170","2015-2019","Illinois","17","170","Illinois",12770631,0
"G180","2015-2019","Indiana","18","180","Indiana",6665703,0
"G190","2015-2019","Iowa","19","190","Iowa",3139508,0
"G200","2015-2019","Kansas","20","200","Kansas",2910652,0
"G210","2015-2019","Kentucky","21","210","Kentucky",4449052,0
"G220","2015-2019","Louisiana","22","220","Louisiana",4664362,0
"G230","2015-2019","Maine","23","230","Maine",1335492,0
"G240","2015-2019","Maryland","24","240","Maryland",6018848,0
"G250","2015-2019","Massachusetts","25","250","Massachusetts",6850553,0
"G260","2015-2019","Michigan","26","260","Michigan",9965265,0
"G270","2015-2019","Minnesota","27","270","Minnesota",5563378,0
"G280","2015-2019","Mississippi","28","280","Mississippi",2984418,0
"G290","2015-2019","Missouri","29","290","Missouri",6104910,0
"G300","2015-2019","Montana","30","300","Montana",1050649,0
"G310","2015-2019","Nebraska","31","310","Nebraska",1914571,0
"G320","2015-2019","Nevada","32","320","Nevada",2972382,0
"G330","2015-2019","New Hampshire","33","330","New Hampshire",1348124,0
"G340","2015-2019","New Jersey","34","340","New Jersey",8878503,0
"G350","2015-2019","New Mexico","35","350","New Mexico",2092454,0
"G360","2015-2019","New York","36","360","New York",19572319,0
"G370","2015-2019","North Carolina","37","370","North Carolina",10264876,0
"G380","2015-2019","North Dakota","38","380","North Dakota",756717,0
"G390","2015-2019","Ohio","39","390","Ohio",11655397,0
"G400","2015-2019","Oklahoma","40","400","Oklahoma",3932870,0
"G410","2015-2019","Oregon","41","410","Oregon",4129803,0
"G420","2015-2019","Pennsylvania","42","420","Pennsylvania",12791530,0
"G440","2015-2019","Rhode Island","44","440","Rhode Island",1057231,0
"G450","2015-2019","South Carolina","45","450","South Carolina",5020806,0
"G460","2015-2019","South Dakota","46","460","South Dakota",870638,0
"G470","2015-2019","Tennessee","47","470","Tennessee",6709356,0
"G480","2015-2019","Texas","48","480","Texas",28260856,0
"G490","2015-2019","Utah","49","490","Utah",3096848,0
"G500","2015-2019","Vermont","50","500","Vermont",624313,0
"G510","2015-2019","Virginia","51","510","Virginia",8454463,0
"G530","2015-2019","Washington","53","530","Washington",7404107,0
"G540","2015-2019","West Virginia","54","540","West Virginia",1817305,0
"G550","2015-2019","Wisconsin","55","550","Wisconsin",5790716,0
"G560","2015-2019","Wyoming","56","560","Wyoming",581024,0
"G720","2015-2019","Puerto Rico","72","720","Puerto Rico",3318447,0
"G010","2020","Alabama","01","010","Alabama",5024279,
"G020","2020","Alaska","02","020","Alaska",733391,
"G040","2020","Arizona","04","040","Arizona",7151502,
"G050","2020","Arkansas","05","050","Arkansas",3011524,
"G060","2020","California","06","060","California",39538223,
"G080","2020","Colorado","08","080","Colorado",5773714,
"G090","2020","Connecticut","09","090","Connecticut",3605944,
"G100","2020","Delaware","10","100","Delaware",989948,
"G110","2020","District of Columbia","11","110","District of Columbia",689545,
"G120","2020","Florida","12","120","Florida",21538187,
"G130","2020","Georgia","13","130","Georgia",10711908,
"G150","2020","Hawaii","15","150","Hawaii",1455271,
"G160","2020","Idaho","16","160","Idaho",1839106,
"G170","2020","Illinois","17","170","Illinois",12812508,
"G180","2020","Indiana","18","180","Indiana",6785528,
"G190","2020","Iowa","19","190","Iowa",3190369,
"G200","2020","Kansas","20","200","Kansas",2937880,
"G210","2020","Kentucky","21","210","Kentucky",4505836,
"G220","2020","Louisiana","22","220","Louisiana",4657757,
"G230","2020","Maine","23","230","Maine",1362359,
"G240","2020","Maryland","24","240","Maryland",6177224,
"G250","2020","Massachusetts","25","250","Massachusetts",7029917,
"G260","2020","Michigan","26","260","Michigan",10077331,
"G270","2020","Minnesota","27","270","Minnesota",5706494,
"G280","2020","Mississippi","28","280","Mississippi",2961279,
"G290","2020","Missouri","29","290","Missouri",6154913,
"G300","2020","Montana","30","300","Montana",1084225,
"G310","2020","Nebraska","31","310","Nebraska",1961504,
"G320","2020","Nevada","32","320","Nevada",3104614,
"G330","2020","New Hampshire","33","330","New Hampshire",1377529,
"G340","2020","New Jersey","34","340","New Jersey",9288994,
"G350","2020","New Mexico","35","350","New Mexico",2117522,
"G360","2020","New York","36","360","New York",20201249,
"G370","2020","North Carolina","37","370","North Carolina",10439388,
"G380","2020","North Dakota","38","380","North Dakota",779094,
"G390","2020","Ohio","39","390","Ohio",11799448,
"G400","2020","Oklahoma","40","400","Oklahoma",3959353,
"G410","2020","Oregon","41","410","Oregon",4237256,
"G420","2020","Pennsylvania","42","420","Pennsylvania",13002700,
"G440","2020","Rhode Island","44","440","Rhode Island",1097379,
"G450","2020","South Carolina","45","450","South Carolina",5118425,
"G460","2020","South Dakota","46","460","South Dakota",886667,
"G470","2020","Tennessee","47","470","Tennessee",6910840,
"G480","2020","Texas","48","480","Texas",29145505,
"G490","2020","Utah","49","490","Utah",3271616,
"G500","2020","Vermont","50","500","Vermont",643077,
"G510","2020","Virginia","51","510","Virginia",8631393,
"G530","2020","Washington","53","530","Washington",7705281,
"G540","2020","West Virginia","54","540","West Virginia",1793716,
"G550","2020","Wisconsin","55","550","Wisconsin",5893718,
"G560","2020","Wyoming","56","560","Wyoming",576851,
"G720","2020","Puerto Rico","72","720","Puerto Rico",3285874,
"G010","2016-2020","Alabama","01","010","Alabama",4893186,
"G020","2016-2020","Alaska","02","020","Alaska",736990,
"G040","2016-2020","Arizona","04","040","Arizona",7174064,
"G050","2016-2020","Arkansas","05","050","Arkansas",3011873,
"G060","2016-2020","California","06","060","California",39346023,
"G080","2016-2020","Colorado","08","080","Colorado",5684926,
"G090","2016-2020","Connecticut","09","090","Connecticut",3570549,
"G100","2016-2020","Delaware","10","100","Delaware",967679,
"G110","2016-2020","District of Columbia","11","110","District of Columbia",701974,
"G120","2016-2020","Florida","12","120","Florida",21216924,
"G130","2016-2020","Georgia","13","130","Georgia",10516579,
"G150","2016-2020","Hawaii","15","150","Hawaii",1420074,
"G160","2016-2020","Idaho","16","160","Idaho",1754367,
"G170","2016-2020","Illinois","17","170","Illinois",12716164,
"G180","2016-2020","Indiana","18","180","Indiana",6696893,
"G190","2016-2020","Iowa","19","190","Iowa",3150011,
"G200","2016-2020","Kansas","20","200","Kansas",2912619,
"G210","2016-2020","Kentucky","21","210","Kentucky",4461952,
"G220","2016-2020","Louisiana","22","220","Louisiana",4664616,
"G230","2016-2020","Maine","23","230","Maine",1340825,
"G240","2016-2020","Maryland","24","240","Maryland",6037624,
"G250","2016-2020","Massachusetts","25","250","Massachusetts",6873003,
"G260","2016-2020","Michigan","26","260","Michigan",9973907,
"G270","2016-2020","Minnesota","27","270","Minnesota",5600166,
"G280","2016-2020","Mississippi","28","280","Mississippi",2981835,
"G290","2016-2020","Missouri","29","290","Missouri",6124160,
"G300","2016-2020","Montana","30","300","Montana",1061705,
"G310","2016-2020","Nebraska","31","310","Nebraska",1923826,
"G320","2016-2020","Nevada","32","320","Nevada",3030281,
"G330","2016-2020","New Hampshire","33","330","New Hampshire",1355244,
"G340","2016-2020","New Jersey","34","340","New Jersey",8885418,
"G350","2016-2020","New Mexico","35","350","New Mexico",2097021,
"G360","2016-2020","New York","36","360","New York",19514849,
"G370","2016-2020","North Carolina","37","370","North Carolina",10386227,
"G380","2016-2020","North Dakota","38","380","North Dakota",760394,
"G390","2016-2020","Ohio","39","390","Ohio",11675275,
"G400","2016-2020","Oklahoma","40","400","Oklahoma",3949342,
"G410","2016-2020","Oregon","41","410","Oregon",4176346,
"G420","2016-2020","Pennsylvania","42","420","Pennsylvania",12794885,
"G440","2016-2020","Rhode Island","44","440","Rhode Island",1057798,
"G450","2016-2020","South Carolina","45","450","South Carolina",5091517,
"G460","2016-2020","South Dakota","46","460","South Dakota",879336,
"G470","2016-2020","Tennessee","47","470","Tennessee",6772268,
"G480","2016-2020","Texas","48","480","Texas",28635442,
"G490","2016-2020","Utah","49","490","Utah",3151239,
"G500","2016-2020","Vermont","50","500","Vermont",624340,
"G510","2016-2020","Virginia","51","510","Virginia",8509358,
"G530","2016-2020","Washington","53","530","Washington",7512465,
"G540","2016-2020","West Virginia","54","540","West Virginia",1807426,
"G550","2016-2020","Wisconsin","55","550","Wisconsin",5806975,
"G560","2016-2020","Wyoming","56","560","Wyoming",581348,
"G720","2016-2020","Puerto Rico","72","720","Puerto Rico",3255642,
"G010","2017-2021","Alabama","01","010","Alabama",4997675,
"G020","2017-2021","Alaska","02","020","Alaska",735951,
"G040","2017-2021","Arizona","04","040","Arizona",7079203,
"G050","2017-2021","Arkansas","05","050","Arkansas",3006309,
"G060","2017-2021","California","06","060","California",39455353,
"G080","2017-2021","Colorado","08","080","Colorado",5723176,
"G090","2017-2021","Connecticut","09","090","Connecticut",3605330,
"G100","2017-2021","Delaware","10","100","Delaware",981892,
"G110","2017-2021","District of Columbia","11","110","District of Columbia",683154,
"G120","2017-2021","Florida","12","120","Florida",21339762,
"G130","2017-2021","Georgia","13","130","Georgia",10625615,
"G150","2017-2021","Hawaii","15","150","Hawaii",1453498,
"G160","2017-2021","Idaho","16","160","Idaho",1811617,
"G170","2017-2021","Illinois","17","170","Illinois",12821813,
"G180","2017-2021","Indiana","18","180","Indiana",6751340,
"G190","2017-2021","Iowa","19","190","Iowa",3179090,
"G200","2017-2021","Kansas","20","200","Kansas",2932099,
"G210","2017-2021","Kentucky","21","210","Kentucky",4494141,
"G220","2017-2021","Louisiana","22","220","Louisiana",4657305,
"G230","2017-2021","Maine","23","230","Maine",1357046,
"G240","2017-2021","Maryland","24","240","Maryland",6148545,
"G250","2017-2021","Massachusetts","25","250","Massachusetts",6991852,
"G260","2017-2021","Michigan","26","260","Michigan",10062512,
"G270","2017-2021","Minnesota","27","270","Minnesota",5670472,
"G280","2017-2021","Mississippi","28","280","Mississippi",2967023,
"G290","2017-2021","Missouri","29","290","Missouri",6141534,
"G300","2017-2021","Montana","30","300","Montana",1077978,
"G310","2017-2021","Nebraska","31","310","Nebraska",1951480,
"G320","2017-2021","Nevada","32","320","Nevada",3059238,
"G330","2017-2021","New Hampshire","33","330","New Hampshire",1372175,
"G340","2017-2021","New Jersey","34","340","New Jersey",9234024,
"G350","2017-2021","New Mexico","35","350","New Mexico",2109366,
"G360","2017-2021","New York","36","360","New York",20114745,
"G370","2017-2021","North Carolina","37","370","North Carolina",10367022,
"G380","2017-2021","North Dakota","38","380","North Dakota",773344,
"G390","2017-2021","Ohio","39","390","Ohio",11769923,
"G400","2017-2021","Oklahoma","40","400","Oklahoma",3948136,
"G410","2017-2021","Oregon","41","410","Oregon",4207177,
"G420","2017-2021","Pennsylvania","42","420","Pennsylvania",12970650,
"G440","2017-2021","Rhode Island","44","440","Rhode Island",1091949,
"G450","2017-2021","South Carolina","45","450","South Carolina",5078903,
"G460","2017-2021","South Dakota","46","460","South Dakota",881785,
"G470","2017-2021","Tennessee","47","470","Tennessee",6859497,
"G480","2017-2021","Texas","48","480","Texas",28862581,
"G490","2017-2021","Utah","49","490","Utah",3231370,
"G500","2017-2021","Vermont","50","500","Vermont",641637,
"G510","2017-2021","Virginia","51","510","Virginia",8582479,
"G530","2017-2021","Washington","53","530","Washington",7617364,
"G540","2017-2021","West Virginia","54","540","West Virginia",1801049,
"G550","2017-2021","Wisconsin","55","550","Wisconsin",5871661,
"G560","2017-2021","Wyoming","56","560","Wyoming",576641,
"G720","2017-2021","Puerto Rico","72","720","Puerto Rico",3311274,
